セクション,要素名,役割・目的,コンテンツ内容,CSS クラス,備考
FLOATING CTA,フローティングCTAバー,スクロール後にモバイルでCTAを常時表示,公式サイトへのリンク,.floating-cta,300px以上スクロール後に表示 / 閉じる可
HEADER,ロゴ,サイト識別,みんなの評判.com,.logo / .logo-mark,ダークパープル配色
HEADER,ヘッダー証跡,評価スコアをヘッダーに常時表示,★ 4.7 / 127件,.header-proof,常時可視
HEADER,ナビゲーション,記事一覧 / 公式サイトへの誘導,2リンク,.nav-desktop,—
HERO,ソーシャルカウンター,3つの数値で社会的証明を視覚提示,127件 / 93% / 4.7点,.social-counters / .counter-card,rAF easeOutCubicカウントアップ
HERO,CTAボタン2種,口コミ読む / 公式サイトへの誘導,2ボタン,.btn-primary / .btn-ghost,—
HERO,PR注記,広告表示の義務的明示,PR記事である旨,.hero-pr-note,小文字
SATISFACTION,満足度バーグラフ,5項目の満足度をアニメで表示,93% / 88% / 91% / 79% / 86%,.sat-bars / .sat-row / .sat-fill,IntersectionObserver + CSS --sat-pct
GALLERY 1,サービスギャラリー,サービス雰囲気を写真で伝える,Swiperスライダー3枚,.swiper-service,Swiper.js v11
REVIEWS,口コミマソンリー,多様な口コミを不規則なレイアウトで表示,JS動的生成 / 5件,.reviews-masonry,CSS columns: 2 / break-inside: avoid
GALLERY 2,ビフォーアフター,変化を視覚的に見せる,Swiperスライダー2枚,.swiper-ba,prev/nextボタン付き
SERVICE,サービス概要カード,料金・エリア・内容・実績を整理,4カード / 数字アイコン(01〜04),.service-grid / .service-card / .s-icon,絵文字なし
SERVICE,利用ステップ,申し込みから開始までの流れ,3ステップ,.steps-list / .step,01/02/03
FAQ,よくある質問,利用前の疑問を解消,JS動的生成,.faq-list,accordion
MEDIA,掲載メディアロゴ,外部メディア掲載で信頼性強化,4メディアロゴ,.media-logos,グレー表示
CTA,最終行動喚起,公式サイトへの最終誘導,93%訴求 + ボタン2種,.cta-section / .cta-inner,—
FOOTER,フッター,法的表示・ナビゲーション・SNS,ブランド / ナビ / SNS / PR注記,.site-footer,—
